2,3,2,4	1735183	324386	185615	34723
2,3,3,2,2	20690821	3847152	3925807	730106
2,3,3,3	5277149	979925	702595	130553
2,3,4,2	4854990	898013	890309	164737
2,3,5	418367	77156	36659	6770
2,4,2,2,2	11040885	2038335	2106598	388983
2,4,2,3	2209143	407497	299897	55349
2,4,3,2	4854990	890309	898013	164737
2,4,4	759197	138659	79112	14466
2,5,2,2	1736735	316879	327539	59778
2,5,3	622935	113131	81087	14739
2,6,2	224678	40615	40615	7345
2,7	9454	1701	626	113
3,2,2,2,2,2	40324664	5535680	7719061	1059809
3,2,2,2,3	8001595	1097847	1097847	150687
3,2,2,3,2	11182463	1531917	2094985	287085
3,2,2,4	1231506	168574	132373	18135
3,2,3,2,2	11493879	1566443	2183873	297727
3,2,3,3	2910121	396161	390585	53221
3,2,4,2	2209143	299897	407497	55349
3,2,5	162386	22000	14354	1948
3,3,2,2,2	14561179	1957147	2780476	373838
3,3,2,3	2910121	390585	396161	53221
3,3,3,2	5277149	702595	979925	130553
3,3,4	705128	93404	74012	9822
3,4,2,2	3488069	460799	659228	87140
3,4,3	1073251	140683	140683	18471
3,5,2	622935	81087	113131	14739
3,6	38422	4966	2897	377
4,2,2,2,2	6199201	667322	1185603	127667
4,2,2,3	1231506	132373	168574	18135
4,2,3,2	1735183	185615	324386	34723
4,2,4	191090	20385	20385	2177
4,3,2,2	2762410	292208	523618	55431
4,3,3	705128	74012	93404	9822
4,4,2	759197	79112	138659	14466
4,5	74710	7735	6516	681
5,2,2,2	811497	72045	154733	13747
5,2,3	162386	14354	22000	1948
5,3,2	418367	36659	77156	6770
5,4	74710	6516	7735	681
6,2,2	93817	7104	17659	1339
6,3	38422	2897	4966	377
7,2	9454	626	1701	113
8	289	17	17	1
2,2,2,2,2,2,2,2	2927318947	560417094	560417094	107291033
2,2,2,2,2,2,3	580982902	111215009	79735124	15264399
2,2,2,2,2,3,2	811435835	155292225	152067478	29104073
2,2,2,2,2,4	89423608	17111380	9620454	1841173
2,2,2,2,3,2,2	832278432	159194784	158183445	30258277
2,2,2,2,3,3	210558334	40264861	28283384	5409423
2,2,2,2,4,2	159822039	30552395	29495033	5638907
2,2,2,2,5	11755203	2246568	1042239	199248
2,2,2,3,2,2,2	837271200	159935327	159935327	30552392
2,2,2,3,2,3	167202868	31932364	22773636	4349954
2,2,2,3,3,2	301680227	57577916	56068768	10702242
2,2,2,3,4	40329305	7693998	4259979	812991
2,2,2,4,2,2	166326694	31723873	31464702	6001895
2,2,2,4,3	51106120	9741875	6743932	1285873
2,2,2,5,2	25504671	4858804	4650930	886149
2,2,2,6	1380730	262882	104258	19863
2,2,3,2,2,2,2	832278432	158183445	159194784	30258277
2,2,3,2,2,3	165532672	31453704	22663986	4307146
2,2,3,2,3,2	233320259	44309388	43639320	8288296
2,2,3,2,4	25775065	4893013	2753879	522950
2,2,3,3,2,2	309218791	58644753	58644753	11123457
2,2,3,3,3	79046472	14981778	10511098	1992808
2,2,3,4,2	73048729	13832095	13386459	2535212
2,2,3,5	6316200	1194987	551892	104489
2,2,4,2,2,2	166326694	31464702	31723873	6001895
2,2,4,2,3	33331643	6302828	4520069	854960
2,2,4,3,2	73813082	13937507	13643487	2576638
2,2,4,4	11599171	2187932	1205795	227590
2,2,5,2,2	26548384	5004150	5004150	943373
2,2,5,3	9583569	1804128	1245395	234548
2,2,6,2	3475717	653201	627814	118009
2,2,7	147064	27593	9684	1819
2,3,2,2,2,2,2	811435835	152067478	155292225	29104073
2,3,2,2,2,3	161126268	30188671	22093816	4140113
2,3,2,2,3,2	225650857	42254160	42254160	7913049
2,3,2,2,4	24873653	4655808	2670162	499955
2,3,2,3,2,2	233320259	43639320	44309388	8288296
2,3,2,3,3	59171283	11060441	7930535	1482825
2,3,2,4,2	45056561	8415432	8304089	1551235
2,3,2,5	3318737	619409	292573	54639
2,3,3,2,2,2	301680227	56068768	57577916	10702242
2,3,3,2,3	60409007	11222137	8212021	1526001
2,3,3,3,2	110516979	20501227	20501227	3803785
2,3,3,4	14844614	2750942	1553294	288051
2,3,4,2,2	73813082	13643487	13937507	2576638
2,3,4,3	22911570	4229536	2995408	553260
2,3,5,2	13413202	2469326	2432613	447954
2,3,6	833874	153156	62285	11454
2,4,2,2,2,2	159822039	29495033	30552395	5638907
2,4,2,2,3	31805932	5867239	4348576	802385
2,4,2,3,2	45056561	8304089	8415432	1551235
2,4,2,4	4976557	916554	529818	97633
2,4,3,2,2	73048729	13386459	13832095	2535212
2,4,3,3	18797257	3440829	2483259	454799
2,4,4,2	20464590	3731379	3731379	680549
2,4,5	2030342	369074	175104	31866
2,5,2,2,2	25504671	4650930	4858804	886149
2,5,2,3	5126235	934258	692941	126338
2,5,3,2	13413202	2432613	2469326	447954
2,5,4	2415158	436448	247425	44755
2,6,2,2	3475717	627814	653201	118009
2,6,3	1437231	258633	184345	33195
2,7,2	402492	72149	72149	12937
2,8	13845	2472	810	145
3,2,2,2,2,2,2	580982902	79735124	111215009	15264399
3,2,2,2,2,3	115309629	15821667	15821667	2171301
3,2,2,2,3,2	161126268	22093816	30188671	4140113
3,2,2,2,4	17752196	2433406	1908753	261749
3,2,2,3,2,2	165532672	22663986	31453704	4307146
3,2,2,3,3	41888071	5731763	5622899	769735
3,2,2,4,2	31805932	4348576	5867239	802385
3,2,2,5	2338823	319581	207049	28315
3,2,3,2,2,2	167202868	22773636	31932364	4349954
3,2,3,2,3	33409961	4548015	4548015	619369
3,2,3,3,2	60409007	8212021	11222137	1526001
3,2,3,4	8080518	1097554	852323	115881
3,2,4,2,2	33331643	4520069	6302828	854960
3,2,4,3	10265114	1390318	1353042	183402
3,2,5,2	5126235	692941	934258	126338
3,2,6	277674	37468	20894	2824
3,3,2,2,2,2	210558334	28283384	40264861	5409423
3,3,2,2,3	41888071	5622899	5731763	769735
3,3,2,3,2	59171283	7930535	11060441	1482825
3,3,2,4	6536950	875226	697681	93495
3,3,3,2,2	79046472	10511098	14981778	1992808
3,3,3,3	20273717	2691483	2691483	357645
3,3,4,2	18797257	2483259	3440829	454799
3,3,5	1627008	214164	141156	18614
3,4,2,2,2	51106120	6743932	9741875	1285873
3,4,2,3	10265114	1353042	1390318	183402
3,4,3,2	22911570	2995408	4229536	553260
3,4,4	3606518	468868	371829	48423
3,5,2,2	9583569	1245395	1804128	234548
3,5,3	3473875	448315	448315	57933
3,6,2	1437231	184345	258633	33195
3,7	68385	8715	4487	575
4,2,2,2,2,2	89423608	9620454	17111380	1841173
4,2,2,2,3	17752196	1908753	2433406	261749
4,2,2,3,2	24873653	2670162	4655808	499955
4,2,2,4	2739116	293790	293790	31535
4,2,3,2,2	25775065	2753879	4893013	522950
4,2,3,3	6536950	697681	875226	93495
4,2,4,2	4976557	529818	916554	97633
4,2,5	366059	38907	32185	3425
4,3,2,2,2	40329305	4259979	7693998	812991
4,3,2,3	8080518	852323	1097554	115881
4,3,3,2	14844614	1553294	2750942	288051
4,3,4	1992018	207363	207363	21625
4,4,2,2	11599171	1205795	2187932	227590
4,4,3	3606518	371829	468868	48423
4,5,2	2415158	247425	436448	44755
4,6	168837	17182	12564	1289
5,2,2,2,2	11755203	1042239	2246568	199248
5,2,2,3	2338823	207049	319581	28315
5,2,3,2	3318737	292573	619409	54639
5,2,4	366059	32185	38907	3425
5,3,2,2	6316200	551892	1194987	104489
5,3,3	1627008	141156	214164	18614
5,4,2	2030342	175104	369074	31866
5,5	226545	19437	19437	1683
6,2,2,2	1380730	104258	262882	19863
6,2,3	277674	20894	37468	2824
6,3,2	833874	62285	153156	11454
6,4	168837	12564	17182	1289
7,2,2	147064	9684	27593	1819
7,3	68385	4487	8715	575
8,2	13845	810	2472	145
9	361	19	19	1
